id,name,password,curFoudrisingAmount,closedFoundrisingAmount,fund_balance,income_history,outcome_history,volunteer_amount
97,"Stokes, Ondricka and Powlowski",P9YHxJ8W,83,33,$3954761.38,$2.50,$6.90,89
98,Ruecker-Hand,AQSmPc0nqH,71,66,$344800.34,$3.53,$0.43,0
99,"Jast, Gottlieb and Auer",8cL5Ct0AgA,6,66,$4995788.75,$8.57,$8.67,11
100,Grimes and Sons,dlWih7Z,71,77,$4064382.83,$0.47,$1.28,68
101,Robel-Muller,Or9qPDal,27,94,$2474753.22,$6.99,$6.18,51
102,Langworth-Swaniawski,V0B8elnQwhdA,73,36,$3133275.80,$2.67,$8.95,7
103,Hansen-Beer,Jdtr9rxHr,32,17,$6358392.06,$7.38,$1.57,16
104,Witting Group,bsUF3MsCk,33,85,$3664046.20,$5.78,$7.86,69
105,Aufderhar Group,ICZPPCJj9w6q,51,50,$2819233.71,$5.38,$0.63,76
106,"Mayert, Pagac and Torphy",9Kxugl,12,77,$6393763.35,$8.34,$5.85,29
107,Reichert Group,CzoTtt,89,36,$3043277.76,$0.15,$4.82,3
108,Gibson-Heller,Pacghan,35,18,$588581.52,$5.57,$4.84,36
109,"Wisozk, Block and Schmidt",l3ouFz,52,72,$4960118.24,$9.37,$5.95,49
110,"Ward, Goodwin and Rutherford",wuGXQc,84,20,$2655567.24,$7.33,$7.93,14
111,Veum LLC,KR04On,36,98,$3305312.13,$8.13,$1.21,81
112,Schuster Group,cvIMVTiUKt,98,63,$5883879.37,$4.67,$3.98,75
113,Walker LLC,Ep3HBllBIvn,9,82,$2725469.59,$9.92,$2.84,82
114,O'Keefe and Sons,sXdwEEd,53,70,$5791067.11,$4.17,$7.70,77
115,Feeney Group,F9Wlrv0A,70,62,$2688178.12,$0.87,$0.10,71
116,Ziemann-Keeling,ihfjsPx,70,26,$524719.02,$1.85,$8.77,84
117,Barrows-Tromp,PHEMn67Ha,19,12,$4475637.19,$9.20,$6.24,96
118,Hoppe-Sporer,kImlFen6hlWw,87,73,$482213.23,$9.43,$6.03,24
119,Kuvalis and Sons,3NJBPOfpJ,19,41,$4949532.71,$4.38,$4.63,37
120,Collier-Wunsch,GnVFxj0va,7,81,$4526425.52,$9.37,$0.36,2
121,"Kohler, Turner and Zieme",AFVMIbNhVa,81,26,$5499947.76,$1.51,$7.66,29
122,"Kling, Hegmann and Denesik",FHbMW3feRUAM,23,82,$5153525.31,$0.05,$2.68,31
123,Nader Group,gTRXLTweZHV5,23,55,$6241380.77,$2.96,$5.54,28
124,Feest-Hauck,azbwPLe8Bq,31,81,$3278925.74,$9.15,$0.75,50
125,"Kihn, Dickens and Graham",SRa9Kg1,31,74,$4013366.50,$2.30,$5.22,32
126,Kuhn and Sons,dSPNV1z,86,87,$7522407.56,$3.24,$9.53,62
127,Shields Inc,XHhBoz43,33,34,$8303259.01,$6.73,$9.77,78
128,Bernhard-Goldner,lXFGhPga,80,6,$1929789.89,$0.56,$4.90,22
129,Brown Inc,rgez0y9P,20,9,$2320113.03,$1.09,$7.41,95
130,Hilpert-MacGyver,z2wElv,77,77,$8678107.99,$1.44,$6.06,66
131,Funk and Sons,XI1qOWCzR,100,85,$4039756.54,$0.14,$5.32,18
132,"Turcotte, Lynch and Gibson",u7vQztefxi,14,4,$8373610.85,$5.33,$1.70,1
133,Bechtelar Inc,gVM0LEIYgwfv,54,77,$3019243.42,$0.71,$7.00,64
134,Wehner and Sons,jvoFzAnUBpM,27,74,$1711283.46,$0.21,$0.74,0
135,Gerhold-Marvin,cFoYblMs,16,35,$2626848.93,$9.51,$3.54,46
136,Graham-Buckridge,66BWgSxKk,77,71,$4504976.83,$7.11,$9.53,10
137,"Ebert, Marvin and Stoltenberg",fqw1cG,29,73,$285312.52,$5.21,$1.93,91
138,"Gaylord, Lowe and Gaylord",liIcdZOz,83,3,$1609553.35,$8.19,$3.83,5
139,"Heathcote, Gutmann and Sanford",XJr21F,32,44,$35018.20,$1.94,$2.43,53
140,"Walter, Nader and King",q16arm6It,39,82,$116863.59,$0.36,$4.19,7
141,Hoppe-Kerluke,l8lD6rfw,51,2,$7360150.34,$4.95,$5.22,40
142,Larson Group,q7RQxQIQ,86,87,$5697338.47,$7.81,$5.89,63
143,Walsh-Lehner,kzkZGX,15,43,$6250464.45,$1.53,$8.44,5
144,"Hartmann, Cassin and Bosco",qoBodz6,62,52,$896566.96,$4.14,$3.77,21
145,Ward LLC,dyy4EwQ4yR,82,27,$6232371.46,$5.77,$4.43,96
146,"Dickens, Haley and Yost",febTTx,15,4,$4522109.46,$8.12,$9.21,12
147,Waters-West,deRnFL8Zl8I0,53,10,$3330765.16,$5.22,$5.36,74
148,Gerlach Group,bT8VksHS,85,80,$2014588.37,$6.74,$8.93,98
149,Lindgren-Kilback,zHp9glx9F,83,49,$2744555.65,$2.55,$2.42,61
150,Dooley Group,255myuWWCFdu,95,77,$6527337.31,$8.81,$8.34,92
151,"Cormier, Goyette and King",lwCjp7CC1,77,77,$3977435.79,$3.50,$4.60,78
152,"Hickle, Wilkinson and Block",4wAR7SDOS6,28,52,$6642395.04,$2.62,$8.14,1
153,Koelpin-Turner,GucxAm,86,25,$2579614.47,$6.69,$1.08,43
154,Schroeder-Homenick,LwS1Pmfb,94,70,$6455190.89,$2.77,$3.86,72
155,"Thiel, Langworth and Tremblay",PoWu2K7uLFK,35,59,$4606432.84,$1.70,$8.56,9
156,"Bednar, Purdy and Lindgren",k84WeTF4c,47,89,$7620438.65,$9.26,$5.96,34
157,Legros LLC,Yvvd2rdOhqb,16,99,$6393103.43,$2.29,$1.93,38
158,"Fritsch, O'Conner and O'Keefe",gY51BK,75,51,$6246176.90,$8.55,$8.17,27
159,Upton Inc,elHAmHQgigYd,30,87,$7207414.00,$4.51,$3.90,78
160,McLaughlin LLC,ws6b49i6ek1,73,26,$7527256.41,$4.77,$9.21,97
161,"Hansen, Toy and Runolfsson",nZZKkmzXFN,82,37,$636800.42,$4.36,$8.24,76
162,"Bruen, Spinka and Halvorson",xLUUMN,26,96,$3536587.90,$2.23,$7.54,85
163,Grimes and Sons,hTbPQIeHcVUl,3,74,$8617243.72,$3.81,$9.45,35
164,Welch-Streich,oYwLPF4ew5OF,62,68,$7368881.86,$6.26,$7.98,67
165,Wolff LLC,i8Ht9m7xKpx,77,55,$3806052.21,$2.75,$5.06,64
166,"Becker, Heaney and Bogisich",u1DYtT6,17,46,$3113930.59,$5.75,$9.21,92
167,"Cummings, Orn and Farrell",Coh5iee,3,0,$4655026.57,$4.26,$2.05,4
168,Bartoletti-O'Hara,yI2ffnP,85,87,$4729887.26,$0.86,$7.69,94
169,Macejkovic LLC,fMRsDrLU,6,45,$8979919.50,$7.02,$3.05,63
170,Howe Inc,RvmZ2O,2,60,$103499.26,$0.97,$2.29,52
171,Feeney-Maggio,tJxUU9vJdI8,28,9,$7129761.59,$4.22,$3.03,92
172,Wehner-Orn,BFn6p5,68,92,$5638096.87,$7.48,$3.02,81
173,"Halvorson, Grady and Swaniawski",BpJz4U,99,34,$4403197.88,$4.37,$2.04,75
174,"Nader, Herzog and Volkman",4lBmSrnrZn8,21,39,$2209203.34,$9.32,$6.28,58
175,Wilderman and Sons,oSYqBONV,5,4,$6774243.68,$0.11,$1.88,28
176,Lueilwitz and Sons,F0nz1Y,69,80,$4286308.75,$5.92,$6.49,22
177,Reichel-Quitzon,T2a5D7qEGvm,34,30,$1765282.00,$8.02,$4.94,51
178,Stokes-Mayer,pVyPF5RkmTs,24,83,$4933704.33,$7.51,$9.16,58
179,Wehner-Fisher,9qW153g9UfAO,35,67,$5222392.62,$8.87,$9.59,34
180,Yundt LLC,CPH3SZWT,30,26,$8306864.66,$4.96,$0.75,85
181,"Dare, Rippin and Wehner",kJYNv3,72,40,$6899995.93,$9.61,$0.16,87
182,Bechtelar-Spinka,JNCYlZ8k,37,35,$1878906.39,$6.63,$0.08,49
183,"Howe, Rippin and Donnelly",zimpZ5HS,13,52,$7787715.75,$9.17,$3.78,89
184,Bogan Group,w3PDKtieDhB,86,0,$6799962.81,$6.43,$5.60,34
185,"Hansen, Leffler and Runte",PkyaFOVf,36,86,$8999540.33,$4.51,$2.62,15
186,Daniel Inc,627r1pn,88,61,$4281935.37,$5.04,$1.70,47
187,"Greenholt, Volkman and Reilly",5GlYRoI,30,80,$4780014.50,$1.39,$6.24,91
188,"Wilkinson, Trantow and Schumm",0cSqWVLQL,78,0,$7161907.60,$8.29,$6.30,58
189,"Treutel, Bruen and Erdman",DbqT9N8IYI,9,23,$5094755.44,$6.79,$3.86,51
190,"Pagac, Romaguera and Schultz",nBjsaNGy,15,5,$4104153.33,$3.88,$1.49,16
191,Quigley and Sons,Wr7cIm5HNvqp,8,69,$5416803.68,$6.30,$6.56,26
192,Kessler-Kihn,YShiszZM4fC,66,67,$4286370.05,$5.63,$8.30,49
193,Yundt-Adams,g49MZWBV,55,27,$7196637.82,$7.80,$1.69,50
194,Thompson-Ortiz,B0bKYq,0,98,$1334861.14,$4.72,$0.58,70
195,Gutmann-Kling,SiinYmLRX,17,14,$7101835.87,$4.17,$4.20,69
196,"Klein, O'Conner and Hilpert",st8HLoz,6,14,$5226571.62,$6.60,$5.70,87
197,Wisozk-Beier,bXa58UtZ,54,64,$1577343.06,$9.13,$1.20,82
198,"Turner, Simonis and Abbott",7VIb6gk0d,77,48,$4085795.17,$8.16,$0.37,96
199,Russel and Sons,sPZRZ3L1E,25,5,$8757289.95,$9.73,$4.95,75
200,"Koelpin, Kub and Koelpin",TJPhgqkQ,42,46,$37080.60,$6.02,$0.99,8
201,Denesik-Lehner,iysMUoDZc7p,29,2,$2904895.10,$3.16,$7.76,1
202,"Gislason, Rosenbaum and Dibbert",XBK5sU4,84,28,$6318500.36,$6.10,$4.51,62
203,West LLC,BZB6Ig,48,90,$1811545.08,$2.14,$2.69,27
204,Shields-Romaguera,3EmJbRELiDHU,17,20,$7820448.95,$6.29,$6.68,82
205,"Gaylord, Boehm and Mraz",yoybw2U3kY3,70,44,$7685880.59,$1.33,$5.10,78
206,Nikolaus LLC,98mwq5,6,5,$4041473.84,$7.54,$6.65,93
207,"Metz, Kemmer and Jaskolski",xvvmaTDLOVn,25,57,$726116.04,$1.34,$0.08,10
208,Kuphal Inc,jjuTiuKo4B,92,40,$3752479.10,$9.70,$8.70,7
209,"Johnson, Carroll and Reilly",YIjOii7U4F,67,15,$5633237.27,$1.97,$5.36,81
210,"Kilback, Murazik and Feest",e6LzUeJCCMA,15,32,$2028596.20,$0.90,$7.48,88
211,Botsford-Kutch,JIARTtG96,91,77,$1195270.13,$2.48,$7.96,24
212,Hartmann-Hilpert,KvFmWuD12,78,45,$3088555.83,$1.91,$3.12,61
213,Rodriguez Inc,F5iW1jAbSVbf,7,53,$3025600.80,$6.43,$6.65,2
214,Ankunding-Carter,cAoCUYerNjJb,40,100,$1858837.58,$8.97,$8.82,29
215,Ferry-Grady,Qg2WJg7,10,18,$4929177.78,$5.75,$5.29,64
216,Padberg Inc,UZhRARjY,32,13,$4987878.82,$6.71,$3.86,51
217,"Johnston, Johnston and Kuphal",q6iNwBML,39,0,$837119.33,$9.17,$7.57,34
218,Hamill Inc,ylfF0ggAZs,82,96,$2618640.82,$3.69,$2.99,67
219,Roob Inc,quPSas8V,27,98,$2181438.20,$0.08,$5.79,15
220,Schinner-Reynolds,SYrcz5b5G7,87,75,$4262986.75,$3.81,$8.70,75
221,"Ziemann, Bartell and Dooley",LbMhU4z,75,44,$2542357.83,$5.81,$9.00,75
222,Rau-Friesen,4nGk65T,27,26,$8470575.33,$0.17,$5.56,46
223,Hodkiewicz-Rosenbaum,WweDAGI2,22,78,$4039794.65,$7.53,$6.73,11
224,Kihn-Sawayn,U5uqbnYm,75,53,$1114526.80,$7.80,$8.68,92
225,Hessel Inc,Q29Fux,81,24,$6482264.10,$7.59,$3.26,72
226,"Jaskolski, Stracke and Nikolaus",7b4LuFPJ,80,14,$7869280.92,$4.16,$6.12,12
227,Toy-Deckow,GIR0Wpx8d3o,24,92,$2460968.05,$9.21,$7.57,94
228,Sawayn-Kunde,7UOwd1YqXBIg,100,71,$8206328.08,$1.89,$3.06,94
229,Pacocha and Sons,vCDm3mvZnY,18,90,$5237314.77,$2.78,$9.26,78
230,"Bechtelar, Reichel and Mann",RScrjjxZ8M,5,73,$1042721.50,$5.76,$3.99,18
231,Wyman-Lehner,MvT7teD5hj,79,30,$8435381.67,$0.81,$7.34,40
232,Schneider-Bogan,eteR5By,74,60,$2736666.60,$9.73,$0.44,83
233,Ziemann-Koelpin,h2EbXVC8,79,40,$4835048.22,$4.02,$0.93,60
234,Jacobi LLC,dPm3uehfx6c,15,33,$2092715.12,$7.30,$2.09,23
235,McDermott Group,NN8IDCkdB,49,65,$5638600.35,$2.04,$5.96,98
236,Roob-Schoen,4pGDtoWKZ,41,48,$278151.12,$9.49,$8.39,86
237,Blanda-Skiles,CPKcc9,26,51,$644327.92,$5.66,$6.40,25
238,"Langworth, Ortiz and Schimmel",G8qgrnRc6i,60,95,$3473067.93,$0.39,$1.42,86
239,"Witting, Rogahn and Beahan",4jcPSbYCfjfm,29,65,$7049468.46,$8.22,$2.47,22
240,Krajcik-Gottlieb,AqnwTFl3,2,93,$741275.39,$7.64,$4.83,34
241,"Larkin, Conn and Bosco",326rMS9vKel,86,7,$7514897.81,$7.33,$1.35,88
242,Schneider-Grant,L2DhKLr,1,7,$2891386.57,$8.77,$8.72,87
243,Ernser-Wisoky,mmGcNpxVTR,100,9,$2801916.49,$9.54,$3.51,93
244,Dooley Inc,YL4LhdZU,64,87,$5695625.01,$3.82,$3.89,4
245,Lynch-Ankunding,UgG995ht,98,44,$4341162.12,$5.41,$3.18,100
246,"Treutel, Keebler and Jacobs",nJkxA4EP,44,81,$1235538.50,$3.82,$1.32,57
247,"Hilpert, Gleason and Mueller",LyYqrw,12,51,$7618739.11,$4.51,$6.27,7
248,"Paucek, Von and Wisozk",tLH5cvM,68,5,$8274022.67,$7.76,$2.48,0
249,Champlin Inc,R7z7EYA6T,28,47,$4065016.39,$0.50,$5.31,61
250,"Stokes, Christiansen and Franecki",AzFMcmlsrKy,56,23,$548276.24,$6.39,$8.93,18
251,Smith LLC,X3vnDci6,49,60,$3501167.09,$0.90,$4.21,79
252,"Sipes, Herman and Connelly",VOqp1Zm,46,25,$1496125.46,$6.23,$1.33,27
253,"Lynch, Bernier and MacGyver",Vvyvi7Gz,73,69,$7789151.81,$3.48,$0.35,82
254,Friesen-Lynch,PREx9H9zEDg,100,36,$8730392.28,$1.06,$6.90,98
255,Kiehn Inc,nfr4V6Tkm,18,12,$4003878.97,$4.08,$0.66,32
256,"Zulauf, Gleichner and Frami",W9NA470ZNR,5,38,$1072135.53,$2.03,$0.74,1
257,Kub Group,itdAmiRICsKq,56,8,$8026759.66,$0.67,$0.63,37
258,"Daniel, Brekke and Towne",otMOeDmoXn,1,96,$3500077.28,$0.08,$1.41,73
259,"Bergnaum, Hegmann and Gerlach",URmPKm,25,89,$4828421.79,$0.49,$9.17,26
260,"Wehner, MacGyver and Sauer",4W55rf,3,76,$1826763.53,$0.48,$9.36,45
261,Fisher-Osinski,AvKrPRgJ1q8,9,98,$2010197.04,$3.61,$6.71,43
262,Keebler Group,WH5SU46DlaV6,11,10,$8913371.66,$4.51,$0.45,25
263,Kuphal LLC,uZOOgiUvoPt,92,42,$5425048.20,$2.07,$1.11,16
264,Dickinson-Kling,Uksb9M85,6,26,$4673338.31,$0.16,$6.41,66
265,Beatty LLC,qzhRhShNf,2,36,$8665450.56,$9.92,$3.67,67
266,Hane-Schumm,x1409uAwh,61,79,$8909354.70,$2.70,$6.99,80
267,Runolfsdottir-McKenzie,D0d7nrkLv,75,11,$1619737.48,$0.12,$4.38,26
268,Schamberger-Lueilwitz,t6YY8q9,75,82,$5153851.72,$9.19,$2.72,89
269,Larkin Inc,QyUr2MO7apED,5,97,$8354153.01,$5.86,$8.25,29
270,Tillman Inc,P8YOCtN22S8,70,73,$5979470.09,$8.19,$1.36,39
271,Parisian-Bosco,QTvX8jlN1,35,85,$3209928.83,$9.60,$8.05,90
272,Raynor LLC,VYRttMBkk,54,5,$1502387.85,$1.88,$9.11,70
273,Welch and Sons,8ytQUk3C96,50,25,$2400218.18,$7.42,$4.76,34
274,"Murazik, Effertz and Koch",pmKSWP,68,31,$4273416.45,$4.71,$0.63,87
275,Smitham LLC,PqdVbod8tqOn,7,96,$3327385.37,$7.93,$2.80,31
276,Morissette-Keebler,7f8vWq4bMUyP,2,90,$6881701.93,$3.67,$1.56,37
277,"Ryan, Morissette and Borer",tHkdmIR8,4,20,$5951265.62,$7.63,$6.84,54
278,"Schultz, Carter and Rempel",YIBB2tx,66,12,$700649.17,$2.96,$3.71,67
279,Blick and Sons,E17hfVxdU1,54,35,$212020.12,$5.08,$1.59,30
280,Hauck-Bauch,sBqGivhN2,39,59,$3492973.53,$1.79,$3.68,19
281,"Senger, Nolan and Hilll",ophPyk7pd,44,41,$6913153.64,$7.52,$7.62,54
282,"Weissnat, Wilderman and Johnson",BalGEs,97,14,$7078418.68,$2.72,$4.56,59
283,"Macejkovic, Hand and Batz",rhRwOrZZN,53,49,$5518751.47,$3.71,$0.70,31
284,Simonis LLC,C2AGH5,21,8,$1002019.81,$2.31,$4.87,97
285,Rowe-Wolf,aF1EUKpgqb8,30,91,$7156832.68,$8.41,$4.18,86
286,"Denesik, Schoen and Hettinger",brYYlBds,49,97,$3927322.94,$1.64,$6.42,68
287,Turner-Rutherford,z5RAnaiWg,29,32,$8921861.50,$0.91,$2.15,34
288,Kling Group,0EJXKMftf348,8,32,$7352274.50,$8.83,$6.84,79
289,Upton-Deckow,jZGm4arnTrpR,78,14,$8883574.09,$5.00,$1.53,46
290,Bartoletti-Mayer,PLzE3W7r2,28,10,$1912816.17,$9.39,$8.48,83
291,"Erdman, Strosin and Kertzmann",04FTrKUS,53,15,$2459689.18,$2.36,$4.36,82
292,"Kozey, Barton and Cartwright",CXWnhkQZu,99,48,$886179.76,$3.48,$9.90,48
293,Ullrich-Kutch,kZgFHVEmNhfd,14,67,$7973105.86,$3.13,$1.65,91
294,Witting Group,0JJOiBGQyOgr,43,81,$4602097.53,$6.03,$7.19,39
295,"Harber, Muller and Brakus",IvKuDlVV,54,64,$7545300.68,$5.46,$6.80,56
296,"Wisoky, Pfeffer and Ziemann",e4zoX1,27,38,$2046508.48,$7.50,$9.41,50
297,Ryan-Mante,WCC1gvgLBi,47,65,$8345171.99,$2.62,$4.15,68
298,Hilll LLC,aeKYtayjc,21,92,$60292.50,$4.03,$8.04,7
299,"Schiller, Konopelski and Tremblay",zTXpMSMUP,42,44,$3838819.37,$4.80,$4.20,6
300,"Pfeffer, Mosciski and Grimes",Au25WFE,83,47,$1262180.14,$0.42,$6.30,13
